"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1193000000","1320000000","1367000000","1500000000","1602000000","1656190000","1682270000","1846520000","1976040000","2089180000","2234862000","2432040000","2717076000","2783700000","2616800000","2647462000","2946890000","2843263000","2869920000","2917236000","2934655000","2912627000","3051920000","3239200000","3278570000","2906378902.1158","3194237235.41424","3264809529.23617","3401789115.8354",
"Afganistán","AFG","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","20999999500","21499998200","20999999500","31600001000","34299998200","44800000000","64000000000","76999999500","61700001800","62400000000","76099903500","82199896100","69500002300","73699999700","89300000800","97800003600","101200003100","120600002600","132399996900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416825000000","1107016000000","1252786000000","1321735381300",
"Angola","AGO","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276187000000","570822000000","818775000000","1029632000000","1222807000000","1551012000000","1913019000000","2354312000000","2757018000000","3568472000000","4328809000000","4955099000000","6369354000000","7357941000000","9272026000000","11586487000000","14444171000000","15146080000000","17173769468100","19975763555100","24294521412000","34939351513800",
"Albania","ALB","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","8710899700","8819999700","9594900500","9659799600","10033200100","10144400400","10473300000","10702600200","10965199900","11626999800","10171894800","14919189500","80988176400","149833007100","180086865900","203148214300","314756950000","324445250000","364128940000","383873630000","414665910000","440670900000","488606940000","544429870000","569539700000","618766830000","677443750000","789482450000","897974040000","924522280000","968278490000","1018381240000","1039151160000","1080438960000","1127230000000","1157410580000","1192134620000","1234438335500","1236881697533.05","1293381408838.24","1234594609218.4","1338304403365.48","1533994815516.97","1663824143426.35",
"Andorra","AND","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224344418900","247516081600","267484609200","329866665900","373731661700","457023163800","569244342400","676412314600","486877452200","449542508555.594","494497875075.073","442160302171.343","481219036589.36","545045359282.552","563959372160.16","568238065546.148","586360970992.674","593901968337.989","601625266897.551","594384092720.444","623084413864.919","778494026688.114","861237908554.059",
"Argentina","ARG","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","0.0909464732","0.1039393693","0.1429160982","0.1818939","0.2468554676","0.3248099983","0.4027700126","0.5326899886","0.6236400008","0.7275800109","0.7795500159","1.1043599844","1.8449300528","3.1052100658","4.1705899239","11.277500153","57.920501709","163.96499634","411.99200439","1216.3599854","","","","","","","","17600300","81873000","2384750080","53165998080","145521999900","185517998100","163675543300","180006952200","176908603000","186487153500","203028516700","206433800000","198869454200","197044177500","185164262200","193482093300","237566558100","312081885600","367170269400","452953978900","560892761800","725134483100","785922738000","1067391726600","1399376280100","1712095753000","2209467257800","2993947728200","3924370265600","5407702093300","7114591012500","10243246855500","14256078760800","17878128605900","29096375460000","54066914582300","126230027916900",
"Armenia","ARM","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24460000","45650000","292020000","3939680000","176379000000","554258000000","663266000000","830544000000","954028000000","948387000000","1053678000000","1157209400000","1276642400000","1423378000000","1655402100000","1781388300000","2018953900000","2373202600000","2686596400000","2656184100000","2984663100000","3324785000000","3664029000000","3953770300000","4130753900000","3929789520000","3866530300000","4453263600000","4801647600000","5459712500000","4656603600000","4981172000000","5687955600000","6179400500000",
"Samoa Americana","ASM","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000000","332000000","357000000","367000000","375000000","384000000","407000000","398000000","401000000","411000000","420000000","446000000","463000000","460000000","463000000","471000000","487000000","509000000","533000000","602000000","621000000","",
"Antigua y Barbuda","ATG","Gasto de consumo final de los hogares (UMN a precios actuales)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
