"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160741000000","172384000000","204469000000","186010198000",
"Angola","AGO","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","379835000000","374897145000","423971181300","521187773100","595665505900","694307713700","768043192900","747686063000","729899118700","692498348200","728507324000","719955371000","725028409300","618526646400","504745424900","628628510400","580764910600","479623704600","444411688900","406376869100","419667764100","393712251800",
"Albania","ALB","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40438890400","33048910400","44230506400","76561585400","106329725300","122764227200","127125265300","142092042100","168356138500","209210881300","244624902600","291378105500","277900216000","290993584500","346845670000","369994480000","371080748100","376977204500","381323002600","385019368600","428682864100","485455296800","504998552400","517522896727.413","374036863430.92","568900229010.909","665854982174.411","728801676817.656",
"Andorra","AND","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358268111900","369555021800","454220802100","565706502600","630662367900","703385588600","765509063800","860701835100","823698063600","875260000000","1015881234182.85","1175020764233.95","1257988862345.73","1309905767412.85","1345606821052.19","1415766298746.89","1411248350962.89","1434981478303.06","1445768363733.05","1501413687106.29","1562692579880.47","1694889698758.28","1811494000863.88",
"Argentina","ARG","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","11106878957","9925263450.2","14415300107","14415300107","13233726777","14415300107","16778462432","16778462432","15596896935","18905322001","19132205549","17232196891","17581939161","20039646349","20086887499","18219980332","23962491157","30508509842","33225985161","32162587461","30508509842","32096144172","33362835322","34224465858","33337539588","38522868446","34566438421","33362835322","39608213169","42551231628","50215390648","48395512400","47897186500","49805026600","57422988800","70359322800","75739555900","84962695500","93988616600","92804098800","95312028700","97924522600","100953284200","107005805300","115688425400","130596996600","137859761000","149115254900","150218520600","136177435600","155101896200","161536786600","154900352500","149447487800","139017297400","135156268600","142343006000","146065832100","147009411900","161344337000","133209578000","144469843300","151124434600","139771011600",
"Armenia","ARM","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600757275900","311337909100","335803010700","312699370600","312480152200","354174500500","420615802600","535288446400","719532435200","939388698300","915861455700","1065033799200","986870082300","952248411500","827694457700","741319116700","937768460100","1077479799400","1175913800000","1277042386800","1358773099600","1425352981400","1728953166500","2062641127600","2165773184000","2512296893400","1670677434100","1981423436800","3168296075400","4140962970600",
"Samoa Americana","ASM","Exportaciones de bienes y servicios (UMN a precios constantes)","NE.EXP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","973000000","954000000","798000000","839000000","783000000","793000000","790000000","621000000","522000000","461000000","483000000","481000000","503000000","540000000","534000000","417000000","473000000","448000000","494000000","359000000","370000000","",
