"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175840000000","162486000000","213930000000","205645148300",
"Angola","AGO","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","201789000000","394360000000","602229000000","895564000000","923944000000","1259386000000","1941186000000","2386683000000","2174677000000","2771451000000","3261719000000","3451615000000","3936026000000","3935322000000","4338173000000","4709427000000","4406613000000","5372203000000","8397661199000","11774127890000","13701439500000","14750185673900",
"Albania","ALB","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","5269000200","4986999800","5507999700","5922999800","6111000100","5445000200","5384999900","5587999700","5362999800","5854000100","4927105000","1203850000","2768059900","16544879600","33632489500","47196449300","72871710000","66647100000","82698800000","104435810000","159915520000","206950970000","220116800000","243266580000","278802180000","304937410000","332252370000","351304870000","366881910000","374169000000","352412130000","381944270000","353044000000","352087850000","337087180000","350164400000","358812670000","381094440000","430477707814.84","421243975813.114","417268053258.666","507933680459.95","552578690003.996","569959771496.774",
"Andorra","AND","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79593437300","84981026400","94946771800","101433261600","121912000000","143389511800","223283000000","259219632200","269224193400","","","","","","","","","","","","","","",
"Argentina","ARG","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","0.0308766738","0.0463155098","0.0463155098","0.0463155098","0.0617533512","0.0926299989","0.1235100031","0.1698199958","0.2006999999","0.2624500096","0.2933300138","0.4013999999","0.663860023","0.9880599976","1.4512200356","5.7122402191","31.448200226","87.845001221","197.14900208","462.07400513","970","1696","4754","22870","157900","933100","1743400","4562600","20702000","503303008","9646999552","26478000100","37853999100","45069414300","51330897900","46285080200","49210611100","56727150100","59595219100","51073902400","46020116800","38098830100","37386593800","56903329000","77103177100","101077054100","131233748800","175055360800","218549572500","194449251800","276534725500","375844281100","418307859000","545423085700","731735907900","926804441500","1174352779900","1616325032100","2248738375100","3061093432300","3886243166700","7991571909500","14522859692800","35544081623700",
"Armenia","ARM","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22310000","22690000","52940000","525420000","37855000000","84365000000","118254000000","130336000000","154925000000","162134000000","223944800000","245022700000","338478200000","440063100000","536282000000","787120900000","1111633500000","1370081000000","1671119300000","1347261800000","1362458600000","1161217500000","1006835000000","966365300000","965486600000","1039622000000","879566600000","982042700000","1007306500000","1034865500000","1098766500000","1482532500000","1791180000000","1973072800000",
"Samoa Americana","ASM","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","5028000000","5323000000","5299000000","5685000000","6386000000","7213000000","7868000000","8544000000","9488000000","10279000000","11614000000","12371000000","13396000000","14483000000","17192000000","18418000000","21846000000","24807000000","27651000000","31685000000","35548000000","43264000000","50916000000","50289000000","55635000000","63624000000","73407000000","79988000000","90110000000","105691000000","111942000000","102039000000","96671000000","104330000000","111824000000","124434000000","127739000000","133813000000","148246000000","157783000000","171882000000","164137000000","183780000000","209212000000","230112000000","249971000000","277776000000","298373000000","332793000000","348181000000","352605000000","369160000000","411342000000","428052000000","429822000000","425821000000","420839000000","423075000000","450887000000","455988000000","452060000000","472208000000","540256000000","598061000000",
"Austria","AUT","Formación bruta de capital fijo (UMN a precios actuales)","NE.GDI.FTOT.CN","","","","","","","","","","","7994873000","9617211000","11921558000","12749181000","14456257000","14390442000","15524598000","17698722000","17415827000","19302067000","21296787000","22619065000","21928913000","22542134000","23173003000","25119340000","26224117000","27880983000","30142046000","32572543000","35281472000","39427487000","41005187000","41523316000","44693364000","45178010000","47163209000","47960705000","49956770000","50926950000","54601402000","54685186000","53172694000","55777580000","57172551000","58633625000","60714463000","65301283000","68682493000","64880340000","64282860000","69976598000","72665955000","74876565000","75817754000","78323318000","82948012000","87584941000","93178035000","99243700000","95590072000","105115703000","114126209000","117839322000",
