"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","513061000000","404004000000","552302000000","556395426300",
"Angola","AGO","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320827000000","351915136300","377006685500","422058984400","448859729900","482973069400","570729276100","568021538900","501345818300","556243395000","555745790200","580079951000","550156629600","418612412200","315052301600","350442442700","294457651500","220700348600","172820405700","166224850800","209625669800","195411307800",
"Albania","ALB","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145210267900","132590244600","157750396000","182083060300","272287735100","313734998500","344532419400","362198694100","391957740200","455436100800","495086946300","591062913800","612473494500","605489791200","602020640000","639263270000","596470044600","592630988200","617869907400","600104872000","641632858000","695246503800","711911311700","729965874310.599","585506113706.621","775554407448.757","864876863924.146","866661584268.016",
"Andorra","AND","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259191315800","292726351800","339529546000","440498634800","506285542200","598405675500","804619309700","976792637400","823882634200","655948000000","780627547050.771","847482454508.273","915502779537.857","1003815222377.16","948264235751.879","960677014604.63","993270142180.095","1003156791698","1060188679245.28","1114745114461.77","1204553745508.72","1516446814023.62","1707281004005.72",
"Argentina","ARG","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","14546306399","17190372927","17190372927","13222250914","15868339713","15868339713","14546325424","14546325424","15868339713","19834408700","16096850651","18014585940","17137317952","16912898380","17830980859","18157378008","14342314576","19667145818","18647028589","28827277695","42190516651","38714471943","22229860360","20690725799","21664247493","18839678146","22205846738","24756225474","22476661049","18764261080","18407755697","33144213200","54914645400","63045642300","76367838000","68878726600","80952541200","102705746300","111347334500","98802087300","98646406200","84888604200","42393747600","58319116400","81717784000","94668607900","105074451500","125711372500","142760583900","116469167500","157471459300","192160243300","183074401200","190182962300","168349967900","176281471600","186548391900","215619712000","206000190000","167483861600","138658764900","164391964300","193697705600","197065655300",
"Armenia","ARM","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1355309436500","958515273200","954459115900","1068146793500","1012829875200","995602930200","1065526703500","1138707516400","1346509373000","1715566923800","1659488010700","1894418837600","1965667309800","2221101659700","2382755936000","1926371821700","2172947492900","2122970400100","2064961100000","2064961100000","2009207150300","1701798456300","1809011759100","2254028651800","2553814462500","2850056940100","1952289004000","2204134285500","2975581285400","3874206833600",
"Samoa Americana","ASM","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1053000000","1046000000","911000000","912000000","878000000","845000000","863000000","751000000","668000000","621000000","646000000","673000000","753000000","780000000","755000000","668000000","664000000","628000000","750000000","708000000","619000000","",
"Antigua y Barbuda","ATG","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","18554000000","20876000000","17899000000","21001000000","23361000000","27819000000","28584000000","29066000000","31940000000","33042000000","35796000000","36894000000","33952000000","34380000000","44810000000","45963000000","43709000000","47870000000","45627000000","49309000000","49358000000","54026000000","60275000000","55188000000","58493000000","68226000000","68066000000","64847000000","72126000000","90072000000","95132000000","89695000000","92833000000","98955000000","106378000000","123763000000","129563000000","142383000000","156971000000","164997000000","184875000000","183073000000","185543000000","210030000000","238382000000","268179000000","290869000000","321014000000","367517000000","353875000000","378622000000","418147000000","465431000000","468824000000","455516000000","462943000000","463427000000","489162000000","525391000000","528069000000","493388000000","478217000000","513280000000","575789000000",
"Austria","AUT","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","23219819000","24679770000","27677437000","30321489000","32415307000","30908404000","36291880000","39355426000","38958605000","42950262000","45401737000","45126452000","43488839000","45305328000","48315103000","50990767000","49185060000","51070338000","55892638000","61570415000","66483937000","69884169000","71362995000","67445544000","74413699000","78807741000","82094713000","88063162000","93133536000","96918310000","106790660000","112335584000","112662280000","116613808000","125913925000","132782582000","140556412000","148476747000","149893595000","132057432000","147874879000","156678689000","158125467000","159341080000","164117579000","170089305000","176429812000","185707211000","195186661000","199777287000","180650871000","206150435000","220751297000","210606362000",
"Azerbaiyán","AZE","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","921454200","1086215100","1590669700","2036648900","2443019800","1938839000","2088844600","2305165000","3401863400","4870193200","6051779600","6624500000","7600190700","8410147700","9615132100","9107955500","9230594100","12515555300","12790897400","14069987100","14651198900","","","","","","","","","",
"Burundi","BDI","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61863231300","85796352900","78193050700","88066975400","103140521900","120811287400","169848266300","215930325500","349182516000","449600568000","437450518000","534710554400","434611403500","488546676400","538052479700","603112123700","677479041400","641517312000","628207526600","556227016500","628342043700","747726906300","875588207300","905233084800","934295310400","999885550600","1070277493400",
"Bélgica","BEL","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","","","","","","","","","","","51847280000","53736886000","58879011000","69822563000","72906230000","66284601000","74494288000","78048355000","80130926000","87307366000","85630197000","83973078000","85110700000","84061940000","89435615000","89799849000","93920676000","100263039000","110710605000","121442332000","127355035000","130996400000","136389606000","135897450000","145791341000","152573128000","161047353000","174256923000","183071099000","189246590000","213878000000","212262204000","214503691000","217634200000","231359666000","246228286000","258888982000","273333200000","283733523000","253633043000","278051519000","293943124000","292104901000","291996966000","307826726000","320757700000","345691192000","364232735000","372749038000","378287389000","352850233000","398126012000","421379220000","392675242000",
"Benin","BEN","Importaciones de bienes y servicios (UMN a precios constantes)","NE.IMP.GNFS.KN","111793689160","90532468065","94647022151","117965934460","128939571550","163916902200","210554347230","262678408460","277080483000","301084758960","325776676200","389764048480","420623604380","415338185200","420453048130","446024501960","416657578530","456312851560","482404048530","614989884880","725503807600","794009020330","609035454080","450446357020","450979439850","532006482830","460108220220","421788236230","435627764010","335252188260","453832471030","572979176600","683496203400","740488148800","652307439700","688224238500","616217204300","686683005200","754513228500","879849698700","786739134000","892530590600","861804815000","905913648000","871473061100","833055281600","894905156500","1166080926300","1215217317600","1272840460800","1366389411500","1303991915300","1452155251300","1898998017900","2177993031700","2156915000000","2228165000000","2547310250000","2670566598800","2761204238900","2214684470700","2586595743800","3065933267700","3332668391500",
